ref,wonstatus,totalvotes,winvotes,name,partyname
1,won,477033,(+ 70703),RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi
2,won,303859,(+ 44111),DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party
3,won,364085,(+ 172560),GURMEET SINGH MEET HAYER,Aam Aadmi Party
4,won,529382,(+ 59808),SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation)
5,won,313217,(+ 10846),MALVINDER SINGH KANG,Aam Aadmi Party
6,won,380581,(+ 105858),RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation)
7,won,505084,(+ 103554),THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi
8,won,488967,(+ 159459),DR RAJKUMAR SANGWAN,Rashtriya Lok Dal
9,won,438345,(+ 30091),SUDHAKAR SINGH,Rashtriya Janata Dal
10,won,443035,(+ 142591),SURENDRA PRASAD YADAV,Rashtriya Janata Dal
11,won,851881,(+ 284620),H.D. KUMARASWAMY,Janata Dal  (Secular)
12,won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
13,won,465567,(+ 79111),ABHAY KUMAR SINHA,Rashtriya Janata Dal
14,won,430323,(+ 209409),VENKATESAN S,Communist Party of India  (Marxist)
15,won,404493,(+ 37508),CHANDAN CHAUHAN,Rashtriya Lok Dal
16,won,613283,(+ 85174),MISHA BHARTI,Rashtriya Janata Dal
17,won,670149,(+ 443821),SACHITHANANTHAM R,Communist Party of India  (Marxist)
18,won,403447,(+ 20111),K.RADHAKRISHNAN,Communist Party of India  (Marxist)
19,won,659300,(+ 72896),AMRARAM,Communist Party of India  (Marxist)
20,won,521836,(+ 281794),MIAN ALTAF AHMAD,Jammu & Kashmir National Conference
21,won,509664,(+ 166782),NAVASKANI K,Indian Union Muslim League
22,won,512552,(+ 151473),CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram)
23,won,571078,(+ 371910),DR. RICKY ANDREW J. SYNGKON,Voice of the People Party
24,won,562516,(+ 235760),DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League
25,won,644006,(+ 300118),E.T.  MOHAMMED BASHEER,Indian Union Muslim League
26,won,376558,(+ 49656),HARSIMRAT KAUR BADAL,Shiromani Akali Dal
27,won,208552,(+ 68288),RICHARD VANLALHMANGAIHA,Zoram People’s Movement
28,won,820831,(+ 247054),RAJ KUMAR ROAT,Bharat Adivasi Party
29,won,356866,(+ 188416),AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference
30,won,542213,(+ 313094),DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam
31,won,596955,(+ 42225),HANUMAN BENIWAL,Rashtriya Loktantrik Party
32,won,520164,(+ 168402),JOBA MAJHI,Jharkhand Mukti Morcha
33,won,164396,(+ 80830),INDRA HANG SUBBA,Sikkim Krantikari Morcha
34,won,547370,(+ 22527),NALIN SOREN,Jharkhand Mukti Morcha
35,won,613371,(+ 178264),VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha
36,won,724439,(+ 223179),BALASHOWRY VALLABHANENI,Janasena Party
37,won,488995,(+ 51583),JOYANTA BASUMATARY,"United People’s Party, Liberal"
38,won,748752,(+ 329846),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey)
39,won,683950,(+ 6553),BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar
40,won,476900,(+ 50529),BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey)
41,won,395655,(+ 52673),ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey)
42,won,395138,(+ 53384),ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey)
43,won,450937,(+ 29861),SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey)
44,won,616729,(+ 162001),RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey)
45,won,778071,(+ 220479),DAGGUMALLA PRASADA RAO,Telugu Desam
46,won,425679,(+ 196199),DR RANI SRI KUMAR,Dravida Munnetra Kazhagam
47,won,622213,(+ 120837),MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar
48,won,540729,(+ 392738),KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam
49,won,613025,(+ 76768),Shyamkumar (Babalu) Daulat Barve,Indian National Congress
50,won,452600,(+ 4332),PRAVEEN PATEL,Bharatiya Janata Party
