ref,state,constituency,won status,winner_votes,(votes),Name,Party_Name
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),won,102436,(+ 24396),BISHNU PADA RAY,Bharatiya Janata Party
2,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,78040,( -24396),KULDEEP RAI SHARMA,Indian National Congress
3,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,8254,( -94182),MANOJ PAUL,Andaman Nicobar Democratic Congress
4,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,6017,( -96419),D AYYAPPAN,Communist Party of India  (Marxist)
5,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,2203,( -100233),V.K. ABDUL AZIZ,Independent
6,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,914,( -101522),K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam
7,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,719,( -101717),DR ARUN KUMAR MALLIK,Bahujan Samaj Party
8,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,542,( -101894),RINKU MALA MONDAL,Independent
9,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,507,( -101929),K VENKAT RAM BABU,Independent
10,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,380,( -102056),USHA KUMARI,Independent
11,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,351,( -102085),SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST)
12,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),lost,342,( -102094),ANAND RAMNATH ARLEKAR,Independent
13,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),,1809,( -100627),NOTA,None of the Above
14,Goa,South Goa(2),won,217836,(+ 13535),CAPTAIN  VIRIATO FERNANDES,Indian National Congress
15,Goa,South Goa(2),lost,204301,( -13535),PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party
16,Goa,South Goa(2),lost,18885,( -198951),RUBERT PEREIRA,Revolutionary Goans Party
17,Goa,South Goa(2),lost,1581,( -216255),DR SWETA GAONKAR,Bahujan Samaj Party
18,Goa,South Goa(2),lost,1317,( -216519),DEEPKUMAR D MAPARI,Independent
19,Goa,South Goa(2),lost,720,( -217116),DR KALIDAS VAINGANKAR,Independent
20,Goa,South Goa(2),lost,542,( -217294),ALEXY FERNANDES,Independent
21,Goa,South Goa(2),lost,501,( -217335),HARISHCHANDRA SUDHAKAR NAIK,Corruption Abolition Party
22,Goa,South Goa(2),,4837,( -212999),NOTA,None of the Above
23,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),won,42523,(+ 6225),PATEL UMESHBHAI BABUBHAI,Independent
24,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,36298,( -6225),LALUBHAI BABUBHAI PATEL,Bharatiya Janata Party
25,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,11258,( -31265),KETAN DAHYABHAI PATEL,Indian National Congress
26,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,545,( -41978),UMESH PATEL,Navsarjan Bharat Party
27,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,323,( -42200),SAKIL LATIF KHAN,Independent
28,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,247,( -42276),IDRISH G MULLA,Independent
29,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),lost,238,( -42285),PATEL UMESHBHAI BABU,Independent
30,Dadra & Nagar Haveli and Daman & Diu,Daman & Diu (1),,978,( -41545),NOTA,None of the Above
31,Chhattisgarh,KORBA(4),won,570182,(+ 43283),JYOTSNA CHARANDAS MAHANT,Indian National Congress
32,Chhattisgarh,KORBA(4),lost,526899,( -43283),SAROJ PANDEY,Bharatiya Janata Party
33,Chhattisgarh,KORBA(4),lost,48587,( -521595),SHYAM SINGH MARKAM,Gondvana Gantantra Party
34,Chhattisgarh,KORBA(4),lost,11268,( -558914),NIRDOSH  KUMAR YADAV,Independent
35,Chhattisgarh,KORBA(4),lost,10739,( -559443),DUJRAM BOUDDH,Bahujan Samaj Party
36,Chhattisgarh,KORBA(4),lost,6182,( -564000),JAICHANDRA SONPAKAR,Independent
37,Chhattisgarh,KORBA(4),lost,5709,( -564473),PALAN SINGH,Independent
38,Chhattisgarh,KORBA(4),lost,4988,( -565194),KAMAL DEV,Bhartiya Shakti Chetna Party
39,Chhattisgarh,KORBA(4),lost,3902,( -566280),DILIP MIRI,Independent
40,Chhattisgarh,KORBA(4),lost,3632,( -566550),KAUSHALYA BAI PORTE,Independent
41,Chhattisgarh,KORBA(4),lost,2504,( -567678),PRATAP BHANU,Independent
42,Chhattisgarh,KORBA(4),lost,2477,( -567705),SANTOSH SHARMA,Independent
43,Chhattisgarh,KORBA(4),lost,2232,( -567950),AMRIKA KARPE,Independent
44,Chhattisgarh,KORBA(4),lost,2202,( -567980),RAJGURU KEWAL GOSWAMI,Independent
45,Chhattisgarh,KORBA(4),lost,2073,( -568109),SHOBRAN SINGH SAIMA,Independent
46,Chhattisgarh,KORBA(4),lost,1964,( -568218),KALYAN SINGH TANWAR,Independent
47,Chhattisgarh,KORBA(4),lost,1814,( -568368),RAJESH PANDEY,Independent
48,Chhattisgarh,KORBA(4),lost,1685,( -568497),SUSHIL KUMAR VISHWAKARMA,Bhartiya Janta Secular Party
49,Chhattisgarh,KORBA(4),lost,1392,( -568790),PRASHANT DANIEL,Sarv Adi Dal
50,Chhattisgarh,KORBA(4),lost,1294,( -568888),REKHA TIWARI,Chhattisgarh Vikas Ganga Rashtriya Party
